"gender","name","starts_with"
"male","Alfredo","A"
"male","Algip","A"
"male","Alibaba","A"
"male","Alibama","A"
"male","Alix","A"
"male","Alixo","A"
"male","Aaron","A"
"male","Abano","A"
"male","Abaro","A"
"male","Abilou","A"
"male","Abraskus","A"
"male","Aljoscha","A"
"male","Allan","A"
"male","Allegro","A"
"male","Allright","A"
"male","Alois","A"
"male","Aloisius","A"
"male","Alon","A"
"male","Alonso","A"
"male","Alpaca","A"
"male","Alpha","A"
"male","Alpha","A"
"male","Alpur","A"
"male","Alpur","A"
"male","Alrik","A"
"male","Alrun","A"
"male","Altin","A"
"male","Alvar","A"
"male","Alvarez","A"
"male","Alvaro","A"
"male","Alwin","A"
"male","Amadeo","A"
"male","Amadeus","A"
"male","Amador","A"
"male","Amadur","A"
"male","Amalfi","A"
"male","Amani","A"
"male","Amar","A"
"male","Amaretto","A"
"male","Amaris","A"
"male","Amarouk","A"
"male","Amatus","A"
"male","Amazon","A"
"male","Ambar","A"
"male","Ambos","A"
"male","Ambrassador","A"
"male","Ambros","A"
"male","Amelios","A"
"male","Amenes","A"
"male","Ameris","A"
"male","Ameristo","A"
"male","Ames","A"
"male","Amethyst","A"
"male","Amigo","A"
"male","Amio","A"
"male","Amir","A"
"male","Amirano","A"
"male","Amo","A"
"male","Amon","A"
"male","Amor","A"
"male","Amore","A"
"male","Amori","A"
"male","Amos","A"
"male","Amoun","A"
"male","Amur","A"
"male","Amusch","A"
"male","Anaconda","A"
"male","Anakin","A"
"male","Anatol","A"
"male","Anchu","A"
"male","Anders","A"
"male","Ando","A"
"male","Andor","A"
"male","Andrew","A"
"male","Android","A"
"male","Andros","A"
"male","Androsch","A"
"male","Andrusch","A"
"male","Andy","A"
"male","Angelo","A"
"male","Angus","A"
"male","Animal","A"
"male","Anjo","A"
"male","Anjuk","A"
"male","Anjushan","A"
"male","Anko","A"
"male","Ankor","A"
"male","Anlo","A"
"male","Anlos","A"
"male","Annek","A"
"male","Annet","A"
"male","Anno","A"
"male","Annourac","A"
"male","Anouk","A"
"male","Anschi","A"
"male","Antar","A"
"male","Antares","A"
"male","Antäus","A"
"male","Antek","A"
"male","Anthas","A"
"male","Antoc","A"
"male","Anton","A"
"male","Anu","A"
"male","Anvic","A"
"male","Aolani","A"
"male","Apache","A"
"male","Aphex","A"
"male","Apoll","A"
"male","Apollo","A"
"male","Apollus","A"
"male","Aponi","A"
"male","Aquarius","A"
"male","Aquila","A"
"male","Aragon","A"
"male","Aragorn","A"
"male","Arak","A"
"male","Aramis","A"
"male","Aran","A"
"male","Arandano","A"
"male","Arandy","A"
"male","Arano","A"
"male","Arapaho","A"
"male","Arashi","A"
"male","Arat","A"
"male","Aratex","A"
"male","Arbo","A"
"male","Arbos","A"
"male","Archie","A"
"male","Archimedes","A"
"male","Arco","A"
"male","Arcon","A"
"male","Arec","A"
"male","Arek","A"
"male","Aren","A"
"male","Areno","A"
"male","Ares","A"
"male","Aresto","A"
"male","Arex","A"
"male","Argan","A"
"male","Argo","A"
"male","Argol","A"
"male","Aljoscha","A"
"male","Allan","A"
"male","Allegro","A"
"male","Allright","A"
"male","Alois","A"
"male","Argoli","A"
"male","Argon","A"
"male","Argos","A"
"male","Argus","A"
"male","Ari","A"
"male","Arico","A"
"male","Aries","A"
"male","Arif","A"
"male","Arik","A"
"male","Ariko","A"
"male","Arino","A"
"male","Arinto","A"
"male","Aris","A"
"male","Arisch","A"
"male","Aristo","A"
"male","Aristocrate","A"
"male","Aristokrat","A"
"male","Aristolo","A"
"male","Aristor","A"
"male","Aristoteles","A"
"male","Aristotle","A"
"male","Arius","A"
"male","Arkan","A"
"male","Arkas","A"
"male","Arkim","A"
"male","Arko","A"
"male","Arkon","A"
"male","Arkono","A"
"male","Arkos","A"
"male","Arkus","A"
"male","Armand","A"
"male","Armani","A"
"male","Armanis","A"
"male","Armas","A"
"male","Armicello","A"
"male","Armin","A"
"male","Armstrong","A"
"male","Arndt","A"
"male","Arne","A"
"male","Arni","A"
"male","Arno","A"
"male","Aro","A"
"male","Aron","A"
"male","Aros","A"
"male","Arpad","A"
"male","Arras","A"
"male","Arrax","A"
"male","Arris","A"
"male","Arrist","A"
"male","Arristo","A"
"male","Arro","A"
"male","Arron","A"
"male","Arros","A"
"male","Arrow","A"
"male","Arry","A"
"male","Artax","A"
"male","Arthos","A"
"male","Arthur","A"
"male","Arthus","A"
"male","Artist","A"
"male","Arto","A"
"male","Artur","A"
"male","Artus","A"
"male","Arty","A"
"male","Artyrus","A"
"male","Arual","A"
"male","Arus","A"
"male","Aruso","A"
"male","Arusus","A"
"male","Ary","A"
"male","Arylon","A"
"male","Asbach","A"
"male","Ascha","A"
"male","Aschan","A"
"male","Asco","A"
"male","Asgad","A"
"male","Ash","A"
"male","Ashanti","A"
"male","Ashes","A"
"male","Ashley","A"
"male","Ashok","A"
"male","Asimo","A"
"male","Askan","A"
"male","Asko","A"
"male","Aslan","A"
"male","Asrael","A"
"male","Assam","A"
"male","Assan","A"
"male","Assanto","A"
"male","Asset","A"
"male","Assi","A"
"male","Asterix","A"
"male","Asto","A"
"male","Astor","A"
"male","Astro","A"
"male","Atara","A"
"male","Atego","A"
"male","Athlet","A"
"male","Athos","A"
"male","Atlan","A"
"male","Atlanta","A"
"male","Atlas","A"
"male","Atlatus","A"
"male","Atoll","A"
"male","Atos","A"
"male","Atreju","A"
"male","Atros","A"
"male","Atticus","A"
"male","Attila","A"
"male","Aturo","A"
"male","Atze","A"
"male","Audi","A"
"male","August","A"
"male","Augustus","A"
"male","Aurelius","A"
"male","Auri","A"
"male","Austin","A"
"male","Avalon","A"
"male","Avanti","A"
"male","Avarell","A"
"male","Avari","A"
"male","Avelino","A"
"male","Aveyron","A"
"male","Aviv","A"
"male","Axal","A"
"male","Axe","A"
"male","Axel","A"
"male","Axle","A"
"male","Ayak","A"
"male","Ayk","A"
"male","Ayko","A"
"male","Ayo","A"
"male","Azi","A"
"male","Aziz","A"
"male","Azrael","A"
"male","Azzuro","A"
"female","Aalyah","A"
"female","Aba","A"
"female","Abaska","A"
"female","Abba","A"
"female","Abbie","A"
"female","Abby","A"
"female","Abigail","A"
"female","Acira","A"
"female","Ada","A"
"female","Adara","A"
"female","Adda","A"
"female","Adala","A"
"female","Adascha","A"
"female","Adele","A"
"female","Adela","A"
"female","Adelheid","A"
"female","Adelina","A"
"female","Adesche","A"
"female","Adi","A"
"female","Adia","A"
"female","Adika","A"
"female","Adike","A"
"female","Adikes","A"
"female","Adinka","A"
"female","Adissa","A"
"female","Adisana","A"
"female","Adina","A"
"female","Adona","A"
"female","Adorata","A"
"female","Adoree","A"
"female","Adria","A"
"female","Adrien","A"
"female","Adrienne","A"
"female","Adü","A"
"female","Adya","A"
"female","Aemy","A"
"female","Affinity","A"
"female","Afra","A"
"female","Aga","A"
"female","Agatha","A"
"female","Agathe","A"
"female","Aggy","A"
"female","Agila","A"
"female","Agnola","A"
"female","Aicha","A"
"female","Aida","A"
"female","Aika","A"
"female","Aike","A"
"female","Aila","A"
"female","Ailana","A"
"female","Aileen","A"
"female","Ailin","A"
"female","Ailina","A"
"female","Aily","A"
"female","Aime","A"
"female","Aimée","A"
"female","Aimes","A"
"female","Aimy","A"
"female","Aira","A"
"female","Airana","A"
"female","Airasa","A"
"female","Airin","A"
"female","Aischa","A"
"female","Aisha","A"
"female","Aislinn","A"
"female","Aja","A"
"female","Ajana","A"
"female","Akane","A"
"female","Akanei","A"
"female","Akao","A"
"female","Akaoma","A"
"female","Akascha","A"
"female","Akazia","A"
"female","Akazie","A"
"female","Akela","A"
"female","Akelana","A"
"female","Akelei","A"
"female","Akhira","A"
"female","Akira","A"
"female","Akita","A"
"female","Akitana","A"
"female","Aktia","A"
"female","Aktiana","A"
"female","Akuma","A"
"female","Akumba","A"
"female","Akumana","A"
"female","Akura","A"
"female","Akurana","A"
"female","Akuru","A"
"female","Alabama","A"
"female","Aladine","A"
"female","Alai","A"
"female","Alaina","A"
"female","Alaisa","A"
"female","Alanka","A"
"female","Alana","A"
"female","Alanna","A"
"female","Alanta","A"
"female","Alaska","A"
"female","Alba","A"
"female","Alberta","A"
"female","Alcantha","A"
"female","Alda","A"
"female","Aldaida","A"
"female","Aldene","A"
"female","Aldine","A"
"female","Alfalfa","A"
"female","Alfana","A"
"female","Alektra","A"
"female","Alena","A"
"female","Alenka","A"
"female","Alessa","A"
"female","Alessia","A"
"female","Aleta","A"
"female","Aletana","A"
"female","Aletta","A"
"female","Alexa","A"
"female","Alexandra","A"
"female","Alexei","A"
"female","Alexi","A"
"female","Alexia","A"
"female","Alexis","A"
"female","Alia","A"
"female","Aliasa","A"
"female","Aliara","A"
"female","Alice","A"
"female","Alicia","A"
"female","Alida","A"
"female","Alika","A"
"female","Alima","A"
"female","Alin","A"
"female","Alina","A"
"female","Aline","A"
"female","Alinka","A"
"female","Alisa","A"
"female","Alisha","A"
"female","Alison","A"
"female","Alissa","A"
"female","Allegra","A"
"female","Ally","A"
"female","Alma","A"
"female","Almi","A"
"female","Almira","A"
"female","Alona","A"
"female","Alotria","A"
"female","Alpha","A"
"female","Alraune","A"
"female","Alsira","A"
"female","Alsta","A"
"female","Alva","A"
"female","Ama","A"
"female","Amabella","A"
"female","Amable","A"
"female","Amali","A"
"female","Amalia","A"
"female","Amanda","A"
"female","Amarena","A"
"female","Amata","A"
"female","Amaunet","A"
"female","Amauté","A"
"female","Amazone","A"
"female","Amber","A"
"female","Ambika","A"
"female","Ambra","A"
"female","Ambrosia","A"
"female","Amelia","A"
"female","Amelie","A"
"female","Ami","A"
"female","Amica","A"
"female","Amidala","A"
"female","Amie","A"
"female","Amiela","A"
"female","Amieli","A"
"female","Amiga","A"
"female","Amihla","A"
"female","Amika","A"
"female","Amina","A"
"female","Aminda","A"
"female","Amira","A"
"female","Ammi","A"
"female","Amora","A"
"female","Amudarya","A"
"female","Amy","A"
"female","Amya","A"
"female","Amyala","A"
"female","Amyana","A"
"female","Anais","A"
"female","Anagi","A"
"female","Anasta","A"
"female","Anastasia","A"
"female","Anati","A"
"female","Anda","A"
"female","Andalusia","A"
"female","Andorra","A"
"female","Andra","A"
"female","Andara","A"
"female","Andromeda","A"
"female","Anesta","A"
"female","Anett","A"
"female","Anette","A"
"female","Angel","A"
"female","Angelique","A"
"female","Angi","A"
"female","Angie","A"
"female","Angry","A"
"female","Ania","A"
"female","Anica","A"
"female","Aniera","A"
"female","Anita","A"
"female","Anjanka","A"
"female","Anjy","A"
"female","Anjuta","A"
"female","Anka","A"
"female","Ankara","A"
"female","Anke","A"
"female","Ann","A"
"female","Anna","A"
"female","Annabelle","A"
"female","Annabell","A"
"female","Annastasia","A"
"female","Anne","A"
"female","Annelies","A"
"female","Ännie","Ä"
"female","Annie","A"
"female","Anni","A"
"female","Annika","A"
"female","Annina","A"
"female","Annuschka","A"
"female","Anouck","A"
"female","Anouk","A"
"female","Antal","A"
"female","Antalia","A"
"female","Antaly","A"
"female","Antia","A"
"female","Antje","A"
"female","Antonia","A"
"female","Anu","A"
"female","Anuschka","A"
"female","Anya","A"
"female","Anyanka","A"
"female","Aok","A"
"female","Apali","A"
"female","Aphra","A"
"female","Aphrodite","A"
"female","Apogee","A"
"female","Apolda","A"
"female","Apoldy","A"
"female","Apollonia","A"
"female","Applepie","A"
"female","Apprentice","A"
"female","April","A"
"female","Aquarell","A"
"female","Aquina","A"
"female","Ara","A"
"female","Arabella","A"
"female","Aranka","A"
"female","Arca","A"
"female","Arda","A"
"female","Ardelle","A"
"female","Ardenne","A"
"female","Ardola","A"
"female","Ardomy","A"
"female","Arella","A"
"female","Aria","A"
"female","Ariadne","A"
"female","Ariane","A"
"female","Ariel","A"
"female","Arielle","A"
"female","Arieta","A"
"female","Arina","A"
"female","Arista","A"
"female","Arka","A"
"female","Arlene","A"
"female","Arlette","A"
"female","Arna","A"
"female","Arnika","A"
"female","Arola","A"
"female","Artemis","A"
"female","Aruma","A"
"female","Aruna","A"
"female","Arven","A"
"female","Arwen","A"
"female","Asa","A"
"female","Asaby","A"
"female","Asashi","A"
"female","Ascha","A"
"female","Aschira","A"
"female","Ashaki","A"
"female","Ashanta","A"
"female","Ashanti","A"
"female","Ashari","A"
"female","Ashima","A"
"female","Ashley","A"
"female","Ashra","A"
"female","Asia","A"
"female","Asina","A"
"female","Asira","A"
"female","Asista","A"
"female","Asiza","A"
"female","Asja","A"
"female","Aska","A"
"female","Aski","A"
"female","Askja","A"
"female","Asky","A"
"female","Asmara","A"
"female","Assi","A"
"female","Assie","A"
"female","Assinja","A"
"female","Assy","A"
"female","Asta","A"
"female","Astelle","A"
"female","Astra","A"
"female","Astrid","A"
"female","Ataiga","A"
"female","Atani","A"
"female","Athena","A"
"female","Athene","A"
"female","Athina","A"
"female","Atie","A"
"female","Atina","A"
"female","Atja","A"
"female","Atlanta","A"
"female","Atlantis","A"
"female","Audrey","A"
"female","Aura","A"
"female","Aurelia","A"
"female","Aurelie","A"
"female","Aurica","A"
"female","Aurora","A"
"female","Autuum","A"
"female","Ava","A"
"female","Avalanche","A"
"female","Avalon","A"
"female","Avera","A"
"female","Avery","A"
"female","Avidya","A"
"female","Avis","A"
"female","Aviva","A"
"female","Axa","A"
"female","Ayala","A"
"female","Ayasha","A"
"female","Ayda","A"
"female","Ayesha","A"
"female","Ayka","A"
"female","Ayla","A"
"female","Ayleen","A"
"female","Aymie","A"
"female","Aysha","A"
"female","Ayuka","A"
"female","Ayuna","A"
"female","Aziza","A"
"female","Azzura","A"
"male","Baba","B"
"male","Babu","B"
"male","Babur","B"
"male","Bacardi","B"
"male","Baccarat","B"
"male","Bacchus","B"
"male","Baccio","B"
"male","Baci","B"
"male","Baciar","B"
"male","Bacon","B"
"male","Badboy","B"
"male","Baddy","B"
"male","Badger","B"
"male","Badman","B"
"male","Bado","B"
"male","Bados","B"
"male","Badoso","B"
"male","Badou","B"
"male","Badsky","B"
"male","Badu","B"
"male","Baduso","B"
"male","Bady","B"
"male","Bailey","B"
"male","Baileys","B"
"male","Baily","B"
"male","Baisel","B"
"male","Baiselo","B"
"male","Bajar","B"
"male","Bajazzo","B"
"male","Bakal","B"
"male","Baki","B"
"male","Bakim","B"
"male","Bakis","B"
"male","Baku","B"
"male","Bakum","B"
"male","Bakur","B"
"male","Balami","B"
"male","Baldo","B"
"male","Baldric","B"
"male","Balduin","B"
"male","Baldur","B"
"male","Baldwin","B"
"male","Baldy","B"
"male","Baleron","B"
"male","Bali","B"
"male","Balino","B"
"male","Balion","B"
"male","Balisto","B"
"male","Balko","B"
"male","Balkos","B"
"male","Balou","B"
"male","Balthasar","B"
"male","Balto","B"
"male","Baltollo","B"
"male","Baltum","B"
"male","Balu","B"
"male","Baluga","B"
"male","Bam-Bam","B"
"male","Bambino","B"
"male","Bambolo","B"
"male","Bandit","B"
"male","Bandito","B"
"male","Bangle","B"
"male","Bango","B"
"male","Bangos","B"
"male","Bangy","B"
"male","Banjo","B"
"male","Banjol","B"
"male","Banner","B"
"male","Banny","B"
"male","Banshee","B"
"male","Bansho","B"
"male","Bany","B"
"male","Bao","B"
"male","Baquero","B"
"male","Bär","B"
"male","Baran","B"
"male","Barbar","B"
"male","Barbu","B"
"male","Bärchen","B"
"male","Bardey","B"
"male","Bardo","B"
"male","Bardy","B"
"male","Bäri","B"
"male","Barisch","B"
"male","Bark","B"
"male","Barkley","B"
"male","Barkly","B"
"male","Barko","B"
"male","Bärle","B"
"male","Bärli","B"
"male","Bärlis","B"
"male","Barnaby","B"
"male","Barnacle","B"
"male","Barney","B"
"male","Barny","B"
"male","Baro","B"
"male","Barock","B"
"male","Baron","B"
"male","Baroque","B"
"male","Barri","B"
"male","Barro","B"
"male","Barry","B"
"male","Bart","B"
"male","Bartholomew","B"
"male","Barton","B"
"male","Bartor","B"
"male","Baru","B"
"male","Basalt","B"
"male","Basar","B"
"male","Baschan","B"
"male","Baschi","B"
"male","Basco","B"
"male","Basil","B"
"male","Basko","B"
"male","Basra","B"
"male","Basran","B"
"male","Basti","B"
"male","Bastian","B"
"male","Basuga","B"
"male","Batim","B"
"male","Batimo","B"
"male","Batist","B"
"male","Bauschan","B"
"male","Bautzi","B"
"male","Bax","B"
"male","Baxter","B"
"male","Bay","B"
"male","Bayard","B"
"male","Baynon","B"
"male","Bayou","B"
"male","Bazi","B"
"male","Bazio","B"
"male","Bazius","B"
"male","Bazo","B"
"male","Bengal","B"
"male","Bengalo","B"
"male","Bengalos","B"
"male","Bengel","B"
"male","Beni","B"
"male","Benimo","B"
"male","Benite","B"
"male","Benito","B"
"male","Beniv","B"
"male","Benivaro","B"
"male","Benix","B"
"male","Benjamin","B"
"male","Benji","B"
"male","Benjil","B"
"male","Benjo","B"
"male","Benne","B"
"male","Bennet","B"
"male","Benneton","B"
"male","Bennett","B"
"male","Benni","B"
"male","Bennington","B"
"male","Bennit","B"
"male","Benno","B"
"male","Benny","B"
"male","Benschj","B"
"male","Benson","B"
"male","Bentley","B"
"male","Beowoof","B"
"male","Beppo","B"
"male","Beran","B"
"male","Berber","B"
"male","Berix","B"
"male","Berko","B"
"male","Berli","B"
"male","Berlo","B"
"male","Berlos","B"
"male","Bern","B"
"male","Bernd","B"
"male","Bernhard","B"
"male","Bernie","B"
"male","Bernolo","B"
"male","Bernos","B"
"male","Bernstein","B"
"male","Bero","B"
"male","Berry","B"
"male","Berryll","B"
"male","Bert","B"
"male","Berti","B"
"male","Bertl","B"
"male","Bewitched","B"
"male","Bewo","B"
"male","Bianco","B"
"male","Bias","B"
"male","Biaslo","B"
"male","Biasto","B"
"male","Biber","B"
"male","Bibo","B"
"male","Bibolo","B"
"male","Bibone","B"
"male","Bibosch","B"
"male","Big Ben","B"
"male","Big Boy","B"
"male","Bigfoot","B"
"male","Bigo","B"
"male","Bigolo","B"
"male","Bigos","B"
"male","Bigosto","B"
"male","Bijon","B"
"male","Bijörn","B"
"male","Bike","B"
"male","Biko","B"
"male","Bikolo","B"
"male","Bikon","B"
"male","Bikos","B"
"male","Bikosy","B"
"male","Bilbo","B"
"male","Bill","B"
"male","Billibald","B"
"male","Billibo","B"
"male","Billno","B"
"male","Billo","B"
"male","Billy","B"
"male","Bimbo","B"
"male","Bimpf","B"
"male","Bing","B"
"male","Bingels","B"
"male","Bingo","B"
"male","Birdy","B"
"male","Birger","B"
"male","Birko","B"
"male","Biscuit","B"
"male","Bismarck","B"
"male","Bisquit","B"
"male","Bits","B"
"male","Bittersweet","B"
"male","BizKit","B"
"male","Bizzy","B"
"male","Björn","B"
"male","Black","B"
"male","Blackberry","B"
"male","Blackbird","B"
"male","Blackdale","B"
"male","Blackjack","B"
"male","Blacky","B"
"male","Blackyjack","B"
"male","Blade","B"
"male","Bladeley","B"
"male","Blanco","B"
"male","Blandley","B"
"male","Blandy","B"
"male","Blanko","B"
"male","Blaze","B"
"male","Blazet","B"
"male","Blazley","B"
"male","Bless","B"
"male","Blessco","B"
"male","Blesso","B"
"male","Blinker","B"
"male","Blitz","B"
"male","Blitzy","B"
"male","Blossom","B"
"male","Blubber","B"
"male","Blue","B"
"male","Blue Boy","B"
"male","Blueberry","B"
"male","Blues","B"
"male","Bo","B"
"male","Boa","B"
"male","Bob","B"
"male","Bobas","B"
"male","Bobby","B"
"male","Bobek","B"
"male","Bobo","B"
"male","Boccaccio","B"
"male","Bodhi","B"
"male","Bongo","B"
"male","Bonifaz","B"
"male","Bonito","B"
"male","Bonjour","B"
"male","Bono","B"
"male","Bonsai","B"
"male","Bontesto","B"
"male","Bonto","B"
"male","Bontschek","B"
"male","Bonus","B"
"male","Bonzo","B"
"male","Boober","B"
"male","Booboo","B"
"male","Boogie-Woogie","B"
"male","Booker","B"
"male","Bookie","B"
"male","Bookies","B"
"male","Booklo","B"
"male","Bookly","B"
"male","Boomel","B"
"male","Boomer","B"
"male","Boomero","B"
"male","Booto","B"
"male","Bootsman","B"
"male","Bootsmann","B"
"male","Boovy","B"
"male","Bördi","B"
"male","Boreas","B"
"male","Borek","B"
"male","Borias","B"
"male","Boris","B"
"male","Boro","B"
"male","Boron","B"
"male","Boronelli","B"
"male","Borono","B"
"male","Boros","B"
"male","Borus","B"
"male","Bosbo","B"
"male","Bosborno","B"
"male","Bosbos","B"
"male","Bosch","B"
"male","Bosco","B"
"male","Bosko","B"
"male","Boskop","B"
"male","Boss","B"
"male","Bosse","B"
"male","Bossel","B"
"male","Bossi","B"
"male","Bossy","B"
"male","Boston","B"
"male","Botho-Kai","B"
"male","Boto","B"
"male","Botos","B"
"male","Botticelli","B"
"male","Bouba","B"
"male","Boubie","B"
"male","Boubou","B"
"male","Boulevard","B"
"male","Bouncer","B"
"male","Bounty","B"
"male","Bourbon","B"
"male","Bow","B"
"male","Bowy","B"
"male","Box","B"
"male","Boxto","B"
"male","Boxy","B"
"male","Boy","B"
"male","Boya","B"
"male","Boyar","B"
"male","Boysi","B"
"male","Boz","B"
"male","Bozo","B"
"male","Bozto","B"
"male","Bradley","B"
"male","Bradstreet","B"
"male","Brady","B"
"male","Brain","B"
"male","Branco","B"
"male","Brando","B"
"male","Brandos","B"
"male","Brandy","B"
"male","Branko","B"
"male","Brano","B"
"male","Bravo","B"
"male","Brax","B"
"male","Brazzo","B"
"male","Brecht","B"
"male","Breeze","B"
"male","Brendy","B"
"male","Brian","B"
"male","Bricido","B"
"male","Bridget","B"
"male","Brik","B"
"male","Brilliant","B"
"male","Brisco","B"
"male","Brisko","B"
"male","Brix","B"
"male","Broccoli","B"
"male","Brombi","B"
"male","Bronko","B"
"male","Bronzi","B"
"male","Brooker","B"
"male","Brooklyn","B"
"male","Brösel","B"
"male","Bruce","B"
"male","Brummer","B"
"male","Bruno","B"
"male","Brutus","B"
"male","Bryan","B"
"male","Brytan","B"
"male","Bubi","B"
"male","Buby","B"
"male","Buck","B"
"male","Buckaroo","B"
"male","Buckley","B"
"male","Budd","B"
"male","Buddha","B"
"male","Buddy","B"
"male","Budges","B"
"male","Buffalo","B"
"male","Buffoon","B"
"male","Bug","B"
"male","Bugs","B"
"male","Bugs Bunnie","B"
"male","Bugsy","B"
"male","Buick","B"
"male","Buk","B"
"male","Buka","B"
"male","Bullet","B"
"male","Bulli","B"
"male","Bullion","B"
"male","Bullson","B"
"male","Bully","B"
"male","Bumper","B"
"male","Bundas","B"
"female","Babbit","B"
"female","Babbles","B"
"female","Babe","B"
"female","Babette","B"
"female","Babicka","B"
"female","Babs","B"
"female","Babsi","B"
"female","Babsy","B"
"female","Babuschka","B"
"female","Babushka","B"
"female","Baby","B"
"female","Baby-Doll","B"
"female","Babyface","B"
"female","Baca","B"
"female","Bacay","B"
"female","Baccara","B"
"female","Bacey","B"
"female","Bacima","B"
"female","Bacira","B"
"female","Badita","B"
"female","Baffa","B"
"female","Baffie","B"
"female","Baffle","B"
"female","Baffy","B"
"female","Baghima","B"
"female","Baghira","B"
"female","Bagnet","B"
"female","Bahama","B"
"female","Mama Baia","M"
"female","Baijonka","B"
"female","Baika","B"
"female","Baikala","B"
"female","Baja","B"
"female","Bajana","B"
"female","Bajanta","B"
"female","Bajonka","B"
"female","Bakira","B"
"female","Bakuma","B"
"female","Balalika","B"
"female","Balaika","B"
"female","Balakira","B"
"female","Balbea","B"
"female","Balboa","B"
"female","Balboma","B"
"female","Balda","B"
"female","Baldusa","B"
"female","Balista","B"
"female","Ballerina","B"
"female","Balloona","B"
"female","Bally","B"
"female","Bambala","B"
"female","Bambi","B"
"female","Bambina","B"
"female","Banana","B"
"female","Bandanna","B"
"female","Baneike","B"
"female","Banja","B"
"female","Banjana","B"
"female","Banji","B"
"female","Banka","B"
"female","Banlu","B"
"female","Banluka","B"
"female","Bantje","B"
"female","Banu","B"
"female","Banzai","B"
"female","Barbarella","B"
"female","Barbarina","B"
"female","Barbie","B"
"female","Barika","B"
"female","Barina","B"
"female","Barnet","B"
"female","Baroness","B"
"female","Basha","B"
"female","Basima","B"
"female","Baskja","B"
"female","Basra","B"
"female","Batida","B"
"female","Baya","B"
"female","Bazi","B"
"female","Bazia","B"
"female","Bazibi","B"
"female","Bazici","B"
"female","Bazichi","B"
"female","Bea","B"
"female","Beany","B"
"female","Beate","B"
"female","Beatrix","B"
"female","Beau","B"
"female","Beaurecode","B"
"female","Beauregard","B"
"female","Beauty","B"
"female","Bébé","B"
"female","Becca","B"
"female","Becky","B"
"female","Bedla","B"
"female","Bega","B"
"female","Begonia","B"
"female","Beira","B"
"female","Beja","B"
"female","Bela","B"
"female","Belana","B"
"female","Belinda","B"
"female","Belis","B"
"female","Belisha","B"
"female","Belix","B"
"female","Bella","B"
"female","Bella Mia","B"
"female","Belladonna","B"
"female","Belle","B"
"female","Bellissa","B"
"female","Benia","B"
"female","Benisa","B"
"female","Benita","B"
"female","Benta","B"
"female","Bente","B"
"female","Bentli","B"
"female","Benu","B"
"female","Benua","B"
"female","Benusa","B"
"female","Bera","B"
"female","Berenice","B"
"female","Berla","B"
"female","Berlana","B"
"female","Berita","B"
"female","Bertha","B"
"female","Bertil","B"
"female","Beryll","B"
"female","Besca","B"
"female","Bess","B"
"female","Bessi","B"
"female","Bessie","B"
